Age,Gender,Education Level,Job Title,Years of Experience,Salary,Experience_Age_Ratio,Age_Group,Experience_Group,Job_Title_Length
32.0,Male,Bachelor's,Software Engineer,5.0,90000.0,0.15625,Early_Career,Junior,17
28.0,Female,Master's,Data Analyst,3.0,65000.0,0.10714285714285714,Early_Career,Junior,12
45.0,Male,PhD,Senior Manager,15.0,150000.0,0.3333333333333333,Mid_Career,Senior,14
36.0,Female,Bachelor's,Sales Associate,7.0,60000.0,0.19444444444444445,Mid_Career,Mid,15
52.0,Male,Master's,Director,20.0,200000.0,0.38461538461538464,Senior,Senior,8
29.0,Male,Bachelor's,Marketing Analyst,2.0,55000.0,0.06896551724137931,Early_Career,Entry,17
42.0,Female,Master's,Product Manager,12.0,120000.0,0.2857142857142857,Mid_Career,Senior,15
31.0,Male,Bachelor's,Sales Manager,4.0,80000.0,0.12903225806451613,Early_Career,Junior,13
26.0,Female,Bachelor's,Marketing Coordinator,1.0,45000.0,0.038461538461538464,Early_Career,Entry,21
38.0,Male,PhD,Senior Scientist,10.0,110000.0,0.2631578947368421,Mid_Career,Mid,16
29.0,Male,Master's,Software Developer,3.0,75000.0,0.10344827586206896,Early_Career,Junior,18
48.0,Female,Bachelor's,HR Manager,18.0,140000.0,0.375,Senior,Senior,10
35.0,Male,Bachelor's,Financial Analyst,6.0,65000.0,0.17142857142857143,Early_Career,Mid,17
40.0,Female,Master's,Project Manager,14.0,130000.0,0.35,Mid_Career,Senior,15
27.0,Male,Bachelor's,Customer Service Rep,2.0,40000.0,0.07407407407407407,Early_Career,Entry,20
44.0,Male,Bachelor's,Operations Manager,16.0,125000.0,0.36363636363636365,Mid_Career,Senior,18
33.0,Female,Master's,Marketing Manager,7.0,90000.0,0.21212121212121213,Early_Career,Mid,17
39.0,Male,PhD,Senior Engineer,12.0,115000.0,0.3076923076923077,Mid_Career,Senior,15
25.0,Female,Bachelor's,Data Entry Clerk,0.0,35000.0,0.0,Young,Entry,16
51.0,Male,Bachelor's,Sales Director,22.0,180000.0,0.43137254901960786,Senior,Expert,14
34.0,Female,Master's,Business Analyst,5.0,80000.0,0.14705882352941177,Early_Career,Junior,16
47.0,Male,Master's,VP of Operations,19.0,190000.0,0.40425531914893614,Senior,Senior,16
30.0,Male,Bachelor's,IT Support,2.0,50000.0,0.06666666666666667,Early_Career,Entry,10
36.0,Female,Bachelor's,Recruiter,9.0,60000.0,0.25,Mid_Career,Mid,9
41.0,Male,Master's,Financial Manager,13.0,140000.0,0.3170731707317073,Mid_Career,Senior,17
28.0,Female,Bachelor's,Social Media Specialist,3.0,45000.0,0.10714285714285714,Early_Career,Junior,23
37.0,Female,Master's,Software Manager,11.0,110000.0,0.2972972972972973,Mid_Career,Senior,16
24.0,Male,Bachelor's,Junior Developer,1.0,40000.0,0.041666666666666664,Young,Entry,16
43.0,Female,PhD,Senior Consultant,15.0,140000.0,0.3488372093023256,Mid_Career,Senior,17
33.0,Male,Master's,Product Designer,6.0,90000.0,0.18181818181818182,Early_Career,Mid,16
50.0,Male,Bachelor's,CEO,25.0,250000.0,0.5,Senior,Expert,3
31.0,Female,Bachelor's,Accountant,4.0,55000.0,0.12903225806451613,Early_Career,Junior,10
29.0,Male,Master's,Data Scientist,3.0,75000.0,0.10344827586206896,Early_Career,Junior,14
39.0,Female,Bachelor's,Marketing Specialist,10.0,65000.0,0.2564102564102564,Mid_Career,Mid,20
46.0,Male,PhD,Senior Manager,20.0,170000.0,0.43478260869565216,Senior,Senior,14
27.0,Male,Bachelor's,Technical Writer,2.0,45000.0,0.07407407407407407,Early_Career,Entry,16
35.0,Female,Bachelor's,HR Generalist,7.0,60000.0,0.2,Early_Career,Mid,13
42.0,Male,Master's,Project Engineer,14.0,115000.0,0.3333333333333333,Mid_Career,Senior,16
26.0,Female,Bachelor's,Customer Success Rep,1.0,40000.0,0.038461538461538464,Early_Career,Entry,20
49.0,Male,Bachelor's,Sales Executive,21.0,160000.0,0.42857142857142855,Senior,Expert,15
34.0,Female,Master's,UX Designer,5.0,80000.0,0.14705882352941177,Early_Career,Junior,11
48.0,Male,Master's,Operations Director,18.0,190000.0,0.375,Senior,Senior,19
30.0,Male,Bachelor's,Network Engineer,3.0,60000.0,0.1,Early_Career,Junior,16
36.0,Female,Bachelor's,Administrative Assistant,8.0,45000.0,0.2222222222222222,Mid_Career,Mid,24
41.0,Male,Master's,Strategy Consultant,13.0,130000.0,0.3170731707317073,Mid_Career,Senior,19
28.0,Female,Bachelor's,Copywriter,2.0,40000.0,0.07142857142857142,Early_Career,Entry,10
32.0,Male,Bachelor's,Account Manager,5.0,75000.0,0.15625,Early_Career,Junior,15
45.0,Female,Master's,Director of Marketing,16.0,180000.0,0.35555555555555557,Mid_Career,Senior,21
